# id ud_raw uq_raw vdc error_code ud_hi uq_hi du_d_next du_q_next ud_lim uq_lim scale limited sat_flag
000008c2 f2932b40cd 19059851d3 0b8ceae 0 ffa532c7e9 00a93ca336 f2edf878e4 185c5bae9d 1d29964 0549e52 006c378c9 1 1
000008c3 79885d19c0 c8a3872d5d 0a193d7 0 0098cf126d ffba6444de 78ef8e0753 c8e922e87f 04c6789 1dd3222 00141e191 1 1
000008c4 b3c2bf7097 86e27ab5be 03d1424 0 ffde2f876b ffca482586 b3e48fe92c 8718329038 1ef17c4 1e52413 000718b21 1 1
000008c5 be75852856 694b649d33 0c4f852 0 ff93d43f42 00adc81059 bee1b0e914 689d9c8cda 1c9ea20 056e408 001a682c3 1 1
000008c6 86da3ad5fb d8fc9936f3 0cbf877 0 ff363b4d4e ffbf063849 87a3ff88ad d93d92feaa 19b1da7 1df831c 001aa5ca7 1 1
000008c7 58c1786b13 8cb0d9763e 0817c32 0 0052141314 ff955da714 586f6457ff 8d1b7bcf2a 0290a0a 1caaed4 000ecbd8e 1 1
000008c8 2415bb2b6f 46aa6daa56 02641c7 0 001214be7d 0023688f3b 2403a66cf2 4687051b1b 0090a5f 011b448 000804615 1 1
000008c9 657fee25a2 37f74055c6 087b314 0 007b7e8184 004417e36b 65046fa41e 37b328725b 03dbf41 0220bf2 00137794b 1 1
000008ca f4c90f8644 b58314c63c 0c6d56a 0 ffe13c9a0a ff33ab38b4 f4e7d2ec3a b64f698d88 1f09e4d 199d59c 002be3ea5 1 1
000008cb e1cea94887 01293096ca 0424857 0 ffbb2b012f 0002a58512 e2137e4758 01268b11b8 1dd9581 00152c3 002479dff 1 1
000008cc e46111e088 45c6b1283d 047cea3 0 ffe488a2bc 004562bd7c e47c893dcc 45814e6ac1 1f24451 022b15f 000fe914a 1 1
000008cd 747e21f07a 0e07278006 0d8e4f3 0 00dfc9581e 001af2bb2c 739e58985c 0dec34c4da 06fe4ac 00d795e 001ebc8ea 1 1
000008ce 1a27e45d05 e326804f76 0a9d9fb 0 00768f699e ff7d3ab5b9 19b154f367 e3a94599bd 03b47b5 1be9d5b 004886841 1 1
000008cf 7995bb4043 ca39231887 04b5932 0 00479cc39e ffe053725f 794e1e7ca5 ca58cfa628 023ce62 1f029b9 00096c817 1 1
000008d0 380cf8ee96 4742fda5a7 09d4a6b 0 00650e596a 00807b08cc 37a7ea952c 46c2829cdb 032872d 0403d84 001cd8d89 1 1
000008d1 8c6dff87fa 1b259a3f1c 0dfbb24 0 ff1da70acd 00352afa69 8d50587d2d 1af06f44b3 18ed385 01a957d 001f561f8 1 1
000008d2 669fa0e734 b9a045a8a0 09a7bab 0 0084671bc6 ffa5347b94 661b39cb6e b9fb112d0c 042338e 1d29a3e 0014a492f 1 1
000008d3 64e8cc67a5 44b2aaec0c 0fffe59 0 00dbe96cf7 0095b6a159 640ce2faae 441cf44ab3 06df4b6 04adb51 0022de6a0 1 1
000008d4 f45591f7ca c30b61af98 0905a3c 0 ffe3cd3758 ff6ca8975d f471c4c072 c39eb9183b 1f1e69c 1b6544c 0026acd4e 1 1
000008d5 b89608fa2b e6a778c802 0a03887 0 ff63156232 ffc84ee126 b932f397f9 e6df29e6dc 1b18ab1 1e42771 002328104 1 1
000008d6 fa3d585537 02dc594c9f 05eb194 0 ffa7dcad46 002bc57c09 fa957ba7f1 02b093d096 1d3ee57 015e2be 00f4cfdcb 1 1
000008d7 ffdb2bef3f 2a363e66cc 028512e 0 ffffdb71ed 0029e605a8 ffdb507d52 2a0c586124 1ffedb9 014f303 000fe197c 1 1
000008d8 eb2b2b8279 eb59516d84 0025577 0 fffe470d19 fffe4addf1 eb2ce47560 eb5b068f93 1ff2387 1ff256f 000152ae4 1 1
000008d9 eb91619bea 3146ceea05 080a6ba 0 ffccca716f 007b80a1c7 ebc4972a7b 30cb4e483e 1e66539 03dc051 002819d98 1 1
000008da 391425c6fb c694436e00 0a5d229 0 00797d0420 ff85c88e67 389aa8c2db c70e7adf99 03cbe82 1c2e447 00220e129 1 1
000008db 5f17c6ba98 2986e52d05 0d32410 0 00c91607a9 0057d06364 5e4eb0b2ef 292f14c9a1 0648b04 02be832 0021d5842 1 1
000008dc 9afa085c3f 634be0b073 0cfdf34 0 ff65ef529e 00976e786f 9b941909a1 62b4723804 1b2f7a9 04bb73c 001866962 1 1
000008dd 8b9aba51cb 2603f10e68 0904a35 0 ff71759d82 002e8df24a 8c2944b449 25d5631c1e 1b8bacf 01746f9 0013980ce 1 1
000008de a533d1c727 2e566b27ec 0a1088e 0 ff6af03c65 004c126d47 a5c8e18ac2 2e0a58baa5 1b5781e 0260937 001a445de 1 1
000008df 30d7023290 c68b56c64c 0f03056 0 00a1aa55bc ff41d0b671 303557dcd4 c749860fdb 050d52b 1a0e85b 0034f6360 1 1
000008e0 e685fdfdc6 868af22b1d 08b1839 0 ffe253355f ff72870449 e6a3aac867 87186b26d4 1f1299b 1b94382 0012a2fe6 1 1
000008e1 d3ba602c69 2aa3d5dcf1 02ca23d 0 ffde974e5b 00202d6af8 d3dbc8de0e 2a83a871f9 1ef4ba7 01016b5 000c12f70 1 1
000008e2 c44ceb599b eba2f1500f 0970373 0 ff6b772668 ffcd55ba2e c4e1743333 ebd59b95e1 1b5bb93 1e6aadd 0027cefe8 1 1
000008e3 34140dcd9a 4b8b4b215e 0d2dbcf 0 007c5fa765 00b46a29a3 3397ae2635 4ad6e0f7bb 03e2fd4 05a3515 002636149 1 1
000008e4 e0f4acb7d9 482291bfb8 091ac59 0 ffc427a9be 008b0ea6c8 e130850e1b 47978318f0 1e213d5 0458753 001ed800a 1 1
000008e5 ceb01691b9 3e5d8d2f75 0eb8153 0 ff683378aa 00bffb3033 cf47e3190f 3d9d91ff42 1b419bc 05ffd98 003140d3d 1 1
000008e6 a68e9dbd8b a7e5d150cb 04acc83 0 ffc89eedfb ffc9736cd5 a6c5fecf90 a81c5de3f6 1e44f77 1e4b9b6 0009e810f 1 1
000008e7 16c2f21974 b850c18749 0ac71a7 0 00363c12fb ff5531d3d8 168cb60679 b8fb8fb371 01b1e09 1aa98ea 00261faff 1 1
000008e8 68864f9d0d a8f6f70337 0048312 0 00039a74f4 fffcffe427 6882b52819 a8f9f71f10 001cd3a 1fe7ff2 00008d344 1 1
000008e9 1cad837efb d7c514e227 0ded097 0 008668b345 ff43725607 1c271acbb6 d881a28c20 043345a 1a1b92b 004afd689 1 1
000008ea 83531fa689 ec9876e82f 0ee2d70 0 ff0b6c5a53 ffd9ef231f 8447b34c36 ecbe87c510 185b62d 1ecf792 001f6329c 1 1
000008eb 784ced8b95 b2b2351afd 0a6490b 0 0091617567 ffa2947093 77bb8c162e b30fa0aa6a 048b0bb 1d14a38 001355eeb 1 1
000008ec e29ae64ed5 caae407064 09a0351 0 ffb2ba093e ff73d593ee e2e82c4597 cb3a6adc76 1d95d05 1b9eaca 002a0f8dd 1 1
000008ed 130c4fec79 06c16f47ee 09006a0 0 008d111b2f 003207e33b 127f3ed14a 068f6764b3 046888e 01903f2 00767e408 1 1
000008ee 3d16f08a21 5dfaa661d9 0bcb4e5 0 006ae1a404 00a46ca1df 3cac0ee61d 5d5639bffa 03570d2 0523651 001bfe4bf 1 1
000008ef a9de2be6b4 5e1df16403 0f9fbf4 0 ff509c0e6d 00bfa65cce aa8d8fd847 5d5e4b0735 1a84e07 05fd32e 002094a98 1 1
000008f0 4123fe3773 b97e041e3c 092e676 0 006798d0ef ff8fde0b89 40bc656684 b9ee2612b3 033cc68 1c7ef06 0019721c5 1 1
000008f1 5821374299 ae563a87e2 04df64b 0 003b6dd3b5 ffc8ee7f75 57e5c96ee4 ae8d4c086d 01db6ea 1e47740 000aca13f 1 1
000008f2 41d6c3f97f 7452001876 031dcbb 0 0019865a12 002d188162 41bd3d9f6d 7424e79714 00cc32d 0168c41 000633f5f 1 1
000008f3 fd194dc435 26518733c4 04d02b6 0 fff9f53c4b 004fcda860 fd1f5887ea 2601b98b64 1fcfa9e 027e6d4 002152782 1 1
000008f4 b7af4ff3ff 164d7d5140 043a304 0 ffbcd4e768 0014b721b7 b7f27b0c97 1638c62f89 1de6a74 00a5b91 000edc7a6 1 1
000008f5 5ca6a62d61 6a61a0dbe3 02ad3a6 0 001d3b0724 00218ff92c 5c896b263d 6a4010e2b7 00e9d84 010c7fd 00050c40a 1 1
000008f6 187ba23bb8 167ce97967 07b2ab5 0 005e4499e9 0056962475 181d5da1cf 16265354f2 02f224d 02b4b12 003d9b0b9 1 1
000008f7 f6321cfb81 9a579ffced 08fe08d 0 fff1a56cf0 ff6b2b46a7 f640778e91 9aec74b646 1f8d2b6 1b595a3 00176cb52 1 1
000008f8 f0cbc59005 75dfe4c1b3 03f0504 0 fff79f3884 0040f42b4f f0d4265781 759ef09664 1fbcf9c 0207a16 0008d110e 1 1
000008f9 7aca8e0f4b d7794850a9 04bcbfe 0 004acd3b65 ffe74ff3e6 7a7fc0d3e6 d791f85cc3 025669e 1f3a7fa 0009bf313 1 1
000008fa c56a182cf2 7e19f4bcf3 00c2210 0 fffaaff441 000b6f67a4 c56f6838b1 7e0e85554f 1fd57fa 005b7b4 0001736f6 1 1
000008fb 0cc2f61cad 62c2dedbf7 0b4029c 0 0017f93520 00b987944f 0caafce78d 62095747a8 00bfc9b 05cc3ca 001e0e9cd 1 1
000008fc cfba16fa4c f084734e37 05138a7 0 ffafa00aa7 ffe638ad84 d00a76efa5 f09e3aa0b3 1d7d005 1f31c57 001aa3da4 1 1
000008fd c2c2f6cc85 ebcbb426f1 0e2453e 0 ff20b1570c ffb6531b4e c3a2457579 ec15610ba3 19058ac 1db298e 003a5827b 1 1
000008fe ee6de1ba2f 351563bce5 03e9041 0 ffeb91af50 003db97334 ee82500adf 34d7aa49b1 1f5c8d8 01edcba 00129abda 1 1
000008ff cdffb1f20d 680866cb76 021ed7f 0 fff0b9e92c 001fc75bb0 ce0ef808e1 67e89f6fc6 1f85cf5 00fe3ae 0004e332e 1 1
00000900 738942396d 823043ca97 0f60693 0 00aceffaca ff43aea84d 72dc523ea3 82ec95224a 05677fd 1a1d754 0017f2fec 1 1
00000901 ccc5b26f4d 6c6acfad0b 0ea655c 0 ff97ef14e6 00dc3e3b21 cd2dc35a67 6b8e9171ea 1cbf78a 06e1f1e 002080c72 1 1
00000902 995cab5f09 ca9ac47221 05b5d30 0 ffabc4aca2 ffd42e18c8 99b0e6b267 cac6965959 1d5e256 1ea170c 000d2174e 1 1
00000903 0aaecbeb71 20bc0c1b18 0fa29a6 0 0050a7f244 00f72611a3 0a5e23f92d 1fc4e60975 02853f9 07b9309 0078cd25e 1 1
00000904 a9893dd8f9 35c9d93871 0ed6e24 0 ff2e7ccbc8 008256034c aa5ac10d31 3547833525 1973e66 0412b02 0026c51ad 1 1
00000905 89e380f01f be2db371fc 0db8c91 0 ff38b26220 ff90ee7f52 8aaace8dff be9cc4f2aa 19c5931 1c87740 001affaa5 1 1
00000906 d2cf28cf00 7ef5f3b35a 008ad35 0 fffcf9ef1f 00087eb0e7 d2d22edfe1 7eed750273 1fe7cf8 0043f58 0001120fc 1 1
00000907 eb5168052c 57d71a71d5 01d6de2 0 fff8fd9f77 001dc50bd2 eb586a65b5 57b9556603 1fc7ed0 00ee286 00056c2a3 1 1
00000908 8bb479efcc a2b27f3a4b 0f1be6f 0 ff3c0b2b39 ff62c913ac 8c786ec493 a34fb6269f 19e0596 1b1648a 001af5bc0 1 1
00000909 9260964da0 3dd2a8f80f 0365611 0 ffced09345 001bbd115d 9291c5ba5b 3db6ebe6b2 1e7684a 00dde89 00072dc89 1 1
0000090a ee289b9573 be827e7b87 0d55de2 0 ffc5b778e7 ff2a0f4971 ee62e41c8c bf586f3216 1e2dbbc 19507a5 0034449b7 1 1
0000090b 83c60ef87b adcb90f7f5 08ad9c4 0 ff87a9e920 ffb05e8e47 843e650f5b ae1b3269ae 1c3d4f5 1d82f47 000f7fbcb 1 1
0000090c 2c9e132035 f6a610c27d 0f6c31a 0 00fafd43bf ffcb654297 2ba315dc76 f6daab7fe6 07d7ea2 1e5b2a1 005a0177e 1 1
0000090d e8277efba5 d3b723407f 0c32619 0 ff9fd99271 ff4d6fc9b3 e887a56934 d469b376cc 1cfecc9 1a6b7e5 004083c9e 1 1
0000090e 0e2dbaf883 e496922f11 023dd27 0 00111f881f ffdee53b67 0e1c9b7064 e4b7acf3aa 0088fc4 1ef729e 001352a23 1 1
0000090f 30ead98da6 32521a8920 07cd508 0 005a6d20e4 005d053a43 30906c6cc2 31f5154edd 02d3690 02e829d 001d93aa6 1 1
00000910 2f3e3f9103 923e508b52 0bb1737 0 004cdefd27 ff4d693d64 2ef16093dc 92f0e74dee 0266f7f 1a6b49f 001a08bff 1 1
00000911 aa98014a07 9ef5e11110 0237ad0 0 ffe7a3c606 ffe4525408 aab05d8401 9f118ebd08 1f3d1e3 1f2292a 0004904b6 1 1
00000912 184c4ef57b 50c0ebf209 06219a3 0 001d5fe441 0061a0077d 182eef113a 505f4bea8c 00eaff2 030d004 001357c2a 1 1
00000913 3f81c71a64 e3ff2ba747 09635b7 0 008ed5487b ffc1049f7e 3ef2f1d1e9 e43e2707c9 0476aa4 1e08250 0023fc4ad 1 1
00000914 2a19c70511 522af2ab49 02f06de 0 0016491e8a 002b7ea8f6 2a037de687 51ff740253 00b248f 015bf54 0008782e4 1 1
00000915 0b677e8f09 59f7c6846a 0f2d5ab 0 001fbc36a3 00fa5b9910 0b47c25866 58fd6aeb5a 00fde1b 07d2dcd 002c86217 1 1
00000916 b00e2fa7c7 f289643ce8 0409a0a 0 ffbdcbd284 fff4d9ca38 b05063d543 f2948a72b0 1dee5e9 1fa6ce5 000d3ffc3 1 1
00000917 adcde0847a 7e6f44aed4 0f1d6dc 0 ff7703a88b 00d2b694b9 ae56dcdbef 7d9c8e1a1b 1bb81d4 0695b4a 001aaa4dd 1 1
00000918 e98857539e 7b8bffd216 0798647 0 ffe9676a72 007c410daf e99eefe92c 7b0fbec467 1f4b3b5 03e2087 001017729 1 1
00000919 3ea0b31666 c844da492c 06f5834 0 0056713668 ffb313b31d 3e4a41dffe c891c6960f 02b389b 1d989da 001615863 1 1
0000091a 3a2f77d3d3 ed27d885c5 0225ade 0 0021f73dbe fff4ffe56d 3a0d809615 ed32d8a058 010fb9f 1fa7ff3 0009570b1 1 1
0000091b 85772256f5 ae28089faf 0b392a5 0 ff64d096ff ff98592cdb 861251bff6 ae8faf72d4 1b2684b 1cc2c96 0014436b7 1 1
0000091c 24d7ccb33c c934ae997d 0a0bbd5 0 005d3481a9 ff7561c7ce 247a983193 c9bf4cd1af 02e9a41 1bab0e4 00287a08e 1 1
0000091d a8973677d5 a0e1b0fcb1 0176690 0 ffef8b88f6 ffee18043c a8a7aaeedf a0f398f875 1f7c5c4 1f70c02 000303141 1 1
0000091e cf79b1d267 d58cd77136 0d879ac 0 ff56adb997 ff6be03d74 d0230418d0 d620f733c2 1ab56dd 1b5f01f 0037d48b3 1 1
0000091f 734a237218 39b4bacc3e 0a755b8 0 009b81e414 004dd611a5 72aea18e04 3966e4ba99 04dc0f2 026eb09 001594dab 1 1
00000920 29ba49f709 4586ff4f1a 049eb37 0 002787df03 0041dde352 2992c21806 4545216bc8 013c3f0 020eef2 000f2858f 1 1
00000921 af1d4a521d 0a6e53c42d 0c105d7 0 ff390d632f 0019a7fcae afe43ceeee 0a54abc77f 19c86b2 00cd3fe 00275a994 1 1
00000922 55af03beca 94532a2ed8 0d5f483 0 008a732e25 ff5204017e 55249090a5 9501262d5a 0453997 1a90201 0019da6d0 1 1
00000923 88bb749cb8 4f897e72f1 0f32ece 0 ff2dbe073c 008c376089 898db6957c 4efd471268 196df04 0461bb0 001c34dbc 1 1
00000924 82edc20112 cea1640168 01b91db 0 ffe5598b34 fff57af624 83086875de ceabe90b44 1f2acc6 1fabd7b 000368c6e 1 1
00000925 8d61ae2d6b 03e47ffd1d 02b5240 0 ffd30150df 000187302c 8d8eacdc8c 03e2f8ccf1 1e980a8 000c398 000647ef4 1 1
00000926 4f043a5e23 1e7cf734f3 0412778 0 003f2bc391 00185fcc5b 4ec50e9a92 1e64976898 01f95e2 00c2fe6 000cca9c0 1 1
00000927 b34b767345 90d025452f 0fe01c0 0 ff6a1a1fad ff26b7b5ff b3e15c5398 91a96d8f30 1b50d10 1935bdb 001f446f8 1 1
00000928 52acc44d9f e2bd841981 0a10b29 0 009dc5a2df ffc8299635 520efeaac0 e2f55a834c 04ee2d1 1e414cb 001e8892c 1 1
00000929 5ef30b885f c2b3e61ff0 077c5c2 0 006892a832 ffbc7d71c9 5e8a78e02d c2f768ae27 0344954 1de3eb9 00119f253 1 1
0000092a 43fb2a165f 7f59e092fb 026b93e 0 0012f36e09 00238054c1 43e836a856 7f36603e3a 00979b7 011c02a 000475d48 1 1
0000092b e1d9f9fbd4 54a0e393f2 0da7c13 0 ffb3cd93e3 00d5e387e5 e2262c67f1 53cb000c0d 1d9e6ca 06af1c4 0028702c0 1 1
0000092c 65bd09e0c8 234b51e3bc 0497145 0 00481b9d8b 001903d9b2 6574ee433d 23324e0a0a 0240dcf 00c81ed 000b57121 1 1
0000092d d7b40af2f5 0229753e47 0f8d0f1 0 fefdcb42ae 000dda5947 d8b63fb047 021b9ae500 17ee5a1 006ed2d 0066859d2 1 1
0000092e d2da96f723 3001a3ae91 04f3742 0 ffc79a3a74 003bf87d07 d312fcbcaf 2fc5ab318a 1e3cd1d 01dfc3f 0013fcd04 1 1
0000092f e1f6f50a38 e1d5333e9e 0225219 0 ffe6d5b876 ffe6b96fea e2101f51c2 e1ee79ceb4 1f36adc 1f35cb8 000d67d77 1 1
00000930 59cb0460ff c373e2a973 0dcd1cf 0 00be449f53 ff7fb3d77a 590cbfc1ac c3f42ed1f9 05f2250 1bfd9ec 0021e7450 1 1
00000931 f982294ef5 de7997c8fe 0575510 0 ffeebf23ef ffa6e58cc5 f9936a2b06 ded2b23c39 1f75f92 1d372c6 002a86690 1 1
00000932 aac478c813 0730c3b8d4 04e32ef 0 ffaf055b1c 0006d4e720 ab15736cf7 0729eed1b4 1d782ae 0036a74 000f3397c 1 1
00000933 484b5b394a 0c1d605954 0f54035 0 00fb5dfec8 002a1f78c4 474ffd3a82 0bf340e090 07daeff 0150fbc 0037a1c61 1 1
00000934 194f9da599 c8647df022 0eb7dce 0 006562bf3b ff214240e7 18ea3ae65e c9433baf3b 032b160 190a120 004016efb 1 1
00000935 1226513bef 16ea9e1a99 004d2b6 0 00031ca7e1 0003ede354 122334940e 16e6b03745 0018e54 001f6f2 0002be4c7 1 1
00000936 b62a74c100 df36c6e03d 0c49cf5 0 ff4541c2bf ffad13a885 b6e532fe41 df89b337b8 1a2a0e1 1d689d4 002877b3a 1 1
00000937 14af6a7799 ff595c0db1 0803a0e 0 008530f53a fffbcf026b 142a39825f ff5d8d0b46 042987b 1fde781 006705f85 1 1
00000938 354938c2aa 7900670164 01417f6 0 00086a7ac2 00131c60fc 3540ce47e8 78ed4aa068 004353d 0098e30 000286eaf 1 1
00000939 20a87a411a ec53bf44ee 08e3914 0 007e9b1fdf ffb3bbebf6 2029df213b eca00358f8 03f4d90 1d9ddf6 003e06fe4 1 1
0000093a 42a9b05556 9dfdd66cc5 068b570 0 003d33088c ffa60627f5 426c7d4cca 9e57d044d0 01e9984 1d30314 000eb04db 1 1
0000093b 0517900385 229c67eb86 0ed8575 0 0023edc5eb 00f435e865 04f3a23d9a 21a8320321 011f6e3 07a1af4 0070e4dc2 1 1
0000093c 075a3d93ef 9337919be3 035d44b 0 0003c5ba72 ffc82fb314 075677d97d 936f61e8cf 001e2dd 1e417da 0008358ce 1 1
0000093d eae629a97b 0ecc774fa7 0629d0f 0 ffac18841f 003ad8304e eb3a11255c 0e919f1f59 1d60c42 01d6c18 003f9f0b8 1 1
0000093e fa6e5a0fe9 c267dc2815 070370c 0 fff57fc463 ff8bdb41a1 fa78da4b86 c2dc00e674 1fabfe2 1c5eda1 001e2b817 1 1
0000093f 048a640bd3 2876718a41 0cc4c55 0 0017ad2c0c 00d2fd14ad 0472b6dfc7 27a3747594 00bd696 0697e8a 00536e300 1 1
00000940 e551c923bb 690a1e6dbb 05480d1 0 ffea615a38 00551d8e1f e56767c983 68b500df9c 1f530ad 02a8ec7 000cf7105 1 1
00000941 346996b84a 1f1bc30fa8 0c46a9c 0 00af88354c 00682f0e6c 33ba0e82fe 1eb394013c 057c41b 0341787 003595b80 1 1
00000942 dd707e0fe8 ccf820af6a 019d436 0 fff0f2bafb ffe9c66af1 dd7f8b54ed cd0e5a4479 1f8795d 1f4e335 0006f7e43 1 1
00000943 cdc3f1f913 203ea0631a 03e6b05 0 ffc969497e 00230a1ac3 cdfa88af95 201b964857 1e4b4a5 011850d 001163066 1 1
00000944 8adbd4ec85 2a9a3e07c0 0a36cd9 0 ff60642dac 003a0c190d 8b7b70bed9 2a6031eeb3 1b03217 01d060d 0015ccedc 1 1
00000945 64d2096213 f721016d7a 03dd0c1 0 003ffe4594 fffa5e8b1c 64920b1c7f f726a2e25e 01fff23 1fd2f46 000a27d54 1 1
00000946 14ad293f35 10bb26f838 0d4f9cc 0 00ac0e85db 008b39d523 14011ab95a 102fed2315 0560743 0459ceb 00852476b 1 1
00000947 9228ca0cfc cb3e9e2f1a 0658935 0 ffa0e1fa20 ffd250ec06 9287e812dc cb6c4d4314 1d070fd 1e92876 000ddaf59 1 1
00000948 5f75620b98 bb1e7c12d7 05181ce 0 0044b07073 ffce6f6db7 5f30b19b25 bb500ca520 0225838 1e737b7 000b835d3 1 1
00000949 341059d294 42d8fbe8e7 08a07bb 0 0058245b0d 00712b95ea 33b8357787 4267d052fd 02c122e 03895cb 001b165c8 1 1
0000094a 0ebf4e8d3c 3b1d21781a 0a4fb36 0 00298046ac 00a65ae294 0e95ce4690 3a76c69586 014c023 0532d71 002d06c12 1 1
0000094b 2f7cadc8e8 1e3297120c 0328bbf 0 002c5359d9 001c2fed91 2f505a6f0f 1e1667247b 01629ad 00e17f7 000eef4f5 1 1
0000094c 081bc8352d 1acaf64191 0e326e4 0 004460fdb2 00e1f15d54 07d767377b 19e904e43d 022307f 070f8af 0086ed697 1 1
0000094d be6caa0713 3457ffa2f5 0150039 0 ffeef164c9 000d9d83f4 be7db8a24a 344a621f01 1f778b2 006cec2 0004296c6 1 1
0000094e 8b9b6f62ef fad397f205 04d9626 0 ffaf7302c4 fffc6b6ea6 8bebfc602b fad72c835f 1d7b981 1fe35b7 000b12acc 1 1
0000094f 3237b1de5a 9a470f39c2 08b9ace 0 00403918a9 ff7de85893 31f778c5b1 9ac926e12f 0201c8c 1bef42c 0014765ba 1 1
00000950 c41a8d6276 8dd4201a97 0b248b3 0 ffa9ecf8ae ff5bede598 c470a069c8 8e783234ff 1d4f67c 1adf6f3 0016fe2ed 1 1
00000951 e6f9d6195d ed3d1ab7b2 018adf8 0 ffeb7aa8eb fff09d6944 e70e5b7072 ed4c7d4e6e 1f5bd54 1f84eb5 000d1ee72 1 1
00000952 04da2f6854 613aeebc30 03f624c 0 0003487f4d 0041c9e6d9 04d6e6e907 60f924d557 001a440 020e4f3 000ad377e 1 1
00000953 df28ee09c3 471a91ce6c 08a9515 0 ffc39ce19f 0082bf504e df65512824 4697d27e1e 1e1ce71 0415fa8 001d6bd24 1 1
00000954 1b12065ed1 01ac6d3565 02180ae 0 0022c0299a 000225fa0d 1aef463537 01aa473b58 0116015 00112fd 00148a169 1 1
00000955 9b245fdbe2 4f693efecf 03a4457 0 ffd06c98fc 00257587a1 9b53f342e6 4f43c9772e 1e8364c 012bac4 00078c20e 1 1
00000956 8481227d97 bc8a71045b 01c75e3 0 ffe60b0b02 fff1d23488 849b177295 bc989ecfd3 1f30586 1f8e91a 00035cea8 1 1
00000957 6596545a9b 3ddfc03e1d 09e1893 0 008c51da9f 0055770743 650a027ffc 3d8a4936da 04628ed 02abb84 001619b24 1 1
00000958 d5f3ed9dbc ad64b76f70 0d09acf 0 ff9da8f43d ff3eccaa45 d65644a97f ae25eac52b 1ced47a 19f6655 00256bbcf 1 1
00000959 1185e19867 2d8520ccca 06b8ff5 0 0028286c21 006851cea4 115db92c46 2d1ccefe26 0141436 03428e7 0024aaeba 1 1
0000095a 61c9d3340b 0bd4fa4bd0 023a980 0 0024caf53e 000473a68e 61a5083ecd 0bd086a542 012657b 00239d3 0006051df 1 1
0000095b 62fd9e6d23 b97658cf14 0363722 0 002de28293 ffdf4dccf2 62cfbbea90 b9970b0222 016f141 1efa6e6 00076a9ab 1 1
0000095c 9709255abd 538b291399 0a9f938 0 ff75caab6d 006e00da8a 97935aaf50 531d28390f 1bae556 037006d 00151146a 1 1
0000095d d4c0898aa0 297973aa5f 0518e86 0 ffc2d3bfcf 003aaa10e5 d4fdb5cad1 293ec9997a 1e169e0 01d5508 0016a1ab3 1 1
0000095e 5ce52e4520 4e7fad526a 0ab7b2a 0 00881e1ccf 007305d05e 5c5d102851 4e0ca7820c 0440f0e 03982e8 001771ca8 1 1
0000095f 77416fed41 8192ca3060 01f4b18 0 001650aa4f ffe857d338 772b1f42f2 81aa725d28 00b2855 1f42bea 0002fe717 1 1
00000960 10b07e4903 3e13e592fe 0e902a2 0 003ede8b96 00e9d9026a 10719fbd6d 3d2a0c9094 01f6f46 074ec81 003c45b14 1 1
00000961 08cb9517d3 13e2dcb352 0240609 0 000f248102 00223cd5a2 08bc7096d1 13c09fddb0 0079241 0111e6b 001b8c002 1 1
00000962 38af9040df 666ea6fc78 0e32714 0 00724d56b0 00ce8bc1da 383d42ea2f 65a01b3a9e 03926ab 06745e1 0020433cb 1 1
00000963 d3b73d26f5 12eb40c0a8 0a2599b 0 ff64d8c031 004248b959 d4526466c4 12a8f8074f 1b26c60 021245d 00380ea9e 1 1
00000964 ccea9bb5d7 ca66b96431 09ea504 0 ff8e411dd5 ff88a7681e cd5c5a9802 cade11fc13 1c7208f 1c453b4 0023a0648 1 1
00000965 c51192ead3 6ca040e58c 0954111 0 ffb608d15b 008856861a c55b8a1978 6c17ea5f72 1db0469 0442b43 001414f24 1 1
00000966 d79718d5c9 3cf63fb92f 05884c4 0 ffcd2c97fd 004cacead5 d7c9ec3dcc 3ca992ce5a 1e6964c 0265675 00141fc91 1 1
00000967 ca142b14da 749d8e39ce 09f7051 0 ffba75b720 0096650326 ca59b55dba 74072936a8 1dd3adc 04b3282 0014a2753 1 1
00000968 4e4ad72cad 4b0a7f33e3 03ab00d 0 002c07f28b 002a33d7eb 4e1ecf3a22 4ae04b5bf8 01603f9 01519ec 0008ff8f8 1 1
00000969 454dbaf506 d4950d7d49 0270a5e 0 002261cf19 ffea75ca01 452b5925ed d4aa97b348 01130e8 1f53ae5 0007f00ea 1 1
0000096a 7b06e7ba5a 29756e2e2b 07cfc93 0 007b16b720 00297ac21b 7a8bd1033a 294bf36c10 03d8b5c 014bd61 0010020e6 1 1
0000096b 0f0d8245fc 83c44ff457 0baebea 0 00175db58d ff3f27e67b 0ef624906f 8485280ddc 00baedb 19f93f3 0018d61f5 1 1
0000096c f44e5f11b2 0c5843a1ed 0e8ada6 0 ff59b538dd 00af8c6985 f4f4a9d8d5 0ba8b73868 1acda9c 057c635 00e38701a 1 1
0000096d cadcdad738 cc34603257 0629e23 0 ffb69c3f3f ffb876b1f5 cb263e97f9 cc7be98062 1db4e20 1dc3b59 0016191ef 1 1
0000096e 700d7eb2ab d20a107d59 088e13e 0 00839be433 ffca0496f6 6f89e2ce78 d2400be663 041cdf2 1e5024b 0012cadcf 1 1
0000096f 25c5f402b5 a689b919e8 01b4a9d 0 000b083c25 ffe5df17fd 25baebc690 a6a3da01eb 005841e 1f2ef8c 0004ac4a3 1 1
